Period,y,pi,d_exc,cr,rl
1,0.0086937,-0.00024723,-0.0062031,0.00044031,-0.000025363
2,0.0049577,-0.0008554,-0.0045036,0.00068474,-0.000056391
3,0.002798,-0.0012422,-0.0027396,0.00043699,-0.000098966
4,0.0018614,-0.0013451,-0.0012629,0.00031954,-0.00015343
5,0.0016967,-0.001244,-0.00021901,0.00028346,-0.00021558
6,0.001914,-0.0010438,0.00039298,0.00029798,-0.00027933
7,0.0022407,-0.00082512,0.00065363,0.00033344,-0.00033889
8,0.0025188,-0.00063526,0.00067057,0.00037035,-0.00039002
9,0.0026791,-0.00049344,0.00054588,0.00039811,-0.00043037
10,0.00271,-0.00040052,0.00036011,0.00041276,-0.00045933
11,0.0026318,-0.00034782,0.00016801,0.00041455,-0.00047758
12,0.0024769,-0.00032345,0.00000094435,0.00040587,-0.00048657
13,0.002278,-0.00031608,-0.00012761,0.00038987,-0.00048811
14,0.0020622,-0.00031679,-0.00021608,0.00036953,-0.00048403
15,0.0018485,-0.00031954,-0.00026961,0.00034729,-0.00047594
16,0.0016488,-0.00032083,-0.00029612,0.00032487,-0.00046522
17,0.0014686,-0.00031913,-0.00030381,0.00030336,-0.00045289
18,0.0013093,-0.0003142,-0.00029978,0.00028331,-0.00043974
19,0.0011698,-0.00030654,-0.00028944,0.00026493,-0.00042627
20,0.0010475,-0.00029691,-0.00027652,0.0002482,-0.00041282
