Period,y,pi,d_exc,cr,rl
1,0.011365,0.00073529,-0.003159,0.0036196,-0.00010362
2,0.0083854,0.00033041,-0.0024192,0.0026462,-0.00019106
3,0.0060381,-0.00020707,-0.0016576,0.0019024,-0.00026042
4,0.0044739,-0.00058779,-0.0010105,0.0014196,-0.00031372
5,0.0035424,-0.00077322,-0.00053538,0.0011429,-0.00035348
6,0.0030264,-0.00081247,-0.00022903,0.00099805,-0.00038192
7,0.0027427,-0.00076642,-0.000058178,0.00092451,-0.0004009
8,0.0025666,-0.0006825,0.000018269,0.00088184,-0.00041205
9,0.0024264,-0.00059039,0.000036873,0.00084726,-0.00041681
10,0.0022873,-0.00050546,0.000025068,0.00081027,-0.00041646
11,0.0021375,-0.00043365,0.00000095366,0.00076772,-0.00041213
12,0.001977,-0.00037565,-0.000024936,0.00072013,-0.00040477
13,0.0018104,-0.00032974,-0.000047387,0.00066945,-0.0003952
14,0.0016434,-0.00029342,-0.000064507,0.00061782,-0.00038408
15,0.0014808,-0.00026434,-0.000076235,0.00056701,-0.00037196
16,0.0013261,-0.00024055,-0.000083352,0.00051827,-0.00035926
17,0.0011813,-0.00022063,-0.000086898,0.00047236,-0.00034631
18,0.0010473,-0.00020355,-0.000087869,0.00042966,-0.00033336
19,0.00092429,-0.00018863,-0.000087091,0.00039026,-0.0003206
20,0.00081197,-0.00017542,-0.000085192,0.00035411,-0.00030816
